,Uniprot,Ensembl,GeneID
514,Q8IZF2,ENSG00000069122,221395
515,Q9Y653,ENSG00000205336,9289
516,Q8IZP9,ENSG00000173698,10149
517,Q86Y34,ENSG00000182885,222487
518,Q8IZF6,ENSG00000156920,139378
519,Q8IZF4,ENSG00000159618,221188
520,Q86SQ4,ENSG00000112414,57211
521,Q96K78,ENSG00000144820,84873
522,O00468,ENSG00000188157,375790
523,O94910,ENSG00000072071,22859
524,O94910,ENSG00000288324,22859
525,O95490,ENSG00000117114,23266
526,Q9HAR2,ENSG00000150471,23284
527,Q9HBW9,ENSG00000162618,64123
528,O00253,ENSG00000159723,181
529,Q8WXG9,ENSG00000164199,84059
530,Q9BYV1,ENSG00000113492,64902
531,P30556,ENSG00000144891,185
532,P50052,ENSG00000180772,186
533,Q5TGY3,ENSG00000126705,27245
534,Q8N157,ENSG00000135541,54806
535,Q8IVF2,ENSG00000185567,113146
536,Q09666,ENSG00000124942,79026
537,P35869,ENSG00000106546,196
538,O95433,ENSG00000100591,10598
539,Q9NZD4,ENSG00000169877,51327
540,Q9GZX7,ENSG00000111732,57379
541,Q96BJ3,ENSG00000186063,64853
542,Q9BQI0,ENSG00000126878,83543
543,P55008,ENSG00000204472,199
544,P55008,ENSG00000206428,199
545,P55008,ENSG00000235985,199
546,P55008,ENSG00000237727,199
547,P55008,ENSG00000234836,199
548,P55008,ENSG00000235588,199
549,O95831,ENSG00000156709,9131
550,Q96NN9,ENSG00000183773,150209
551,Q9NVV5,ENSG00000146416,51390
552,O14862,ENSG00000163568,9447
553,Q12904,ENSG00000164022,9255
554,Q13155,ENSG00000106305,7965
555,Q16352,ENSG00000148798,9118
556,Q9NZN9,ENSG00000129221,23746
557,O00170,ENSG00000110711,9049
558,O43918,ENSG00000160224,326
559,Q9UKB5,ENSG00000196581,55966
560,C9J069,ENSG00000232434,389813
561,Q96IF1,ENSG00000129474,84962
562,Q02040,ENSG00000197976,8227
563,P14550,ENSG00000117448,10327
564,O60218,ENSG00000198074,57016
565,C9JRZ8,ENSG00000227471,441282
566,Q04828,ENSG00000187134,1645
567,P52895,ENSG00000151632,1646
568,P42330,ENSG00000196139,8644
569,P17516,ENSG00000198610,1109
570,P51857,ENSG00000122787,6718
571,O43572,ENSG00000108599,11216
572,Q9UKA4,ENSG00000023516,11215
573,Q02952,ENSG00000131016,9590
574,Q86UN6,ENSG00000186471,158798
575,O43687,ENSG00000118507,9465
576,Q9P0M2,ENSG00000118507,9465
577,P0CW23,ENSG00000231824,642597
578,Q92667,ENSG00000121057,8165
579,O75969,ENSG00000111254,10566
580,Q5JQC9,ENSG00000147081,8852
581,P24588,ENSG00000179841,9495
582,Q13023,ENSG00000151320,9472
583,O43823,ENSG00000105127,10270
584,Q99996,ENSG00000127914,10142
585,Q96JD6,ENSG00000165568,83592
586,Q495B1,ENSG00000166839,348094
587,A6NHY2,ENSG00000189045,728780
588,Q9P2G1,ENSG00000001629,54467
589,Q9NQ31,ENSG00000166452,56672
590,Q9NWT8,ENSG00000175756,54998
591,Q9H9L7,ENSG00000174574,79647
592,Q53H80,ENSG00000135334,55122
593,Q7Z591,ENSG00000106948,80709
594,Q5T1N1,ENSG00000162641,254268
595,Q12802,ENSG00000170776,11214
596,Q9ULX6,ENSG00000011243,26993
597,P31749,ENSG00000142208,207
598,P31751,ENSG00000105221,208
599,Q9Y243,ENSG00000117020,10000
600,Q9Y243,ENSG00000275199,10000
601,Q9H8T0,ENSG00000166971,64400
602,Q96B36,ENSG00000204673,84335
603,Q8N8R7,ENSG00000152219,120534
604,P00352,ENSG00000165092,216
605,O94788,ENSG00000128918,8854
606,P47895,ENSG00000184254,220
607,P30837,ENSG00000137124,219
